Age Group,Age Group Name,Date,Expanded,Expanded by year,Frequency,Indicator,Indicator Name,Location,Location_Name,Location Name (copy),Location RegionId,Measure,Measure Name,Measure Unit,Units,% Uninsured,Scale
KN.A1,All Age Group,1/1/2008,Not Expanded,Not Expanded,A,KN.VA11,Health Insurance Coverage Status,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,100,1
KN.A1,All Age Group,1/1/2009,Not Expanded,Not Expanded,A,KN.VA11,Health Insurance Coverage Status,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,100,1
KN.A1,All Age Group,1/1/2010,Not Expanded,Not Expanded,A,KN.VA11,Health Insurance Coverage Status,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,100,1
KN.A1,All Age Group,1/1/2011,Not Expanded,Not Expanded,A,KN.VA11,Health Insurance Coverage Status,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,100,1
KN.A1,All Age Group,1/1/2012,Not Expanded,Not Expanded,A,KN.VA11,Health Insurance Coverage Status,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,100,1
KN.A1,All Age Group,1/1/2013,Not Expanded,Not Expanded,A,KN.VA11,Health Insurance Coverage Status,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,100,1
KN.A1,All Age Group,1/1/2014,Not Expanded,Not Expanded,A,KN.VA11,Health Insurance Coverage Status,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,100,1
KN.A1,All Age Group,1/1/2015,Not Expanded,Not Expanded,A,KN.VA11,Health Insurance Coverage Status,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,100,1
KN.A1,All Age Group,1/1/2016,Not Expanded,Not Expanded,A,KN.VA11,Health Insurance Coverage Status,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,100,1
KN.A1,All Age Group,1/1/2017,Not Expanded,Not Expanded,A,KN.VA11,Health Insurance Coverage Status,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,100,1
KN.A1,All Age Group,1/1/2018,Not Expanded,Not Expanded,A,KN.VA11,Health Insurance Coverage Status,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,100,1
KN.A1,All Age Group,1/1/2019,Not Expanded,Not Expanded,A,KN.VA11,Health Insurance Coverage Status,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,100,1
KN.A1,All Age Group,1/1/2008,Not Expanded,Not Expanded,A,KN.VA17,Covered by Private or Government Health Insurance,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,86.7,1
KN.A1,All Age Group,1/1/2009,Not Expanded,Not Expanded,A,KN.VA17,Covered by Private or Government Health Insurance,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,86.2,1
KN.A1,All Age Group,1/1/2010,Not Expanded,Not Expanded,A,KN.VA17,Covered by Private or Government Health Insurance,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,85.4,1
KN.A1,All Age Group,1/1/2011,Not Expanded,Not Expanded,A,KN.VA17,Covered by Private or Government Health Insurance,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,85.7,1
KN.A1,All Age Group,1/1/2012,Not Expanded,Not Expanded,A,KN.VA17,Covered by Private or Government Health Insurance,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,86.7,1
KN.A1,All Age Group,1/1/2013,Not Expanded,Not Expanded,A,KN.VA17,Covered by Private or Government Health Insurance,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,86.4,1
KN.A1,All Age Group,1/1/2014,Not Expanded,Not Expanded,A,KN.VA17,Covered by Private or Government Health Insurance,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,87.9,1
KN.A1,All Age Group,1/1/2015,Not Expanded,Not Expanded,A,KN.VA17,Covered by Private or Government Health Insurance,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,89.9,1
KN.A1,All Age Group,1/1/2016,Not Expanded,Not Expanded,A,KN.VA17,Covered by Private or Government Health Insurance,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,90.9,1
KN.A1,All Age Group,1/1/2017,Not Expanded,Not Expanded,A,KN.VA17,Covered by Private or Government Health Insurance,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,90.6,1
KN.A1,All Age Group,1/1/2018,Not Expanded,Not Expanded,A,KN.VA17,Covered by Private or Government Health Insurance,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,90,1
KN.A1,All Age Group,1/1/2019,Not Expanded,Not Expanded,A,KN.VA17,Covered by Private or Government Health Insurance,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,90.3,1
KN.A1,All Age Group,1/1/2008,Not Expanded,Not Expanded,A,KN.VA23,Private Health Insurance,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,69.3,1
KN.A1,All Age Group,1/1/2009,Not Expanded,Not Expanded,A,KN.VA23,Private Health Insurance,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,67.1,1
KN.A1,All Age Group,1/1/2010,Not Expanded,Not Expanded,A,KN.VA23,Private Health Insurance,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,65.4,1
KN.A1,All Age Group,1/1/2011,Not Expanded,Not Expanded,A,KN.VA23,Private Health Insurance,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,64.9,1
KN.A1,All Age Group,1/1/2012,Not Expanded,Not Expanded,A,KN.VA23,Private Health Insurance,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,65.1,1
KN.A1,All Age Group,1/1/2013,Not Expanded,Not Expanded,A,KN.VA23,Private Health Insurance,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,64.8,1
KN.A1,All Age Group,1/1/2014,Not Expanded,Not Expanded,A,KN.VA23,Private Health Insurance,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,65.7,1
KN.A1,All Age Group,1/1/2015,Not Expanded,Not Expanded,A,KN.VA23,Private Health Insurance,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,66.9,1
KN.A1,All Age Group,1/1/2016,Not Expanded,Not Expanded,A,KN.VA23,Private Health Insurance,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,67.9,1
KN.A1,All Age Group,1/1/2017,Not Expanded,Not Expanded,A,KN.VA23,Private Health Insurance,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,66.9,1
KN.A1,All Age Group,1/1/2018,Not Expanded,Not Expanded,A,KN.VA23,Private Health Insurance,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,66.6,1
KN.A1,All Age Group,1/1/2019,Not Expanded,Not Expanded,A,KN.VA23,Private Health Insurance,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,66.9,1
KN.A1,All Age Group,1/1/2008,Not Expanded,Not Expanded,A,KN.VA28,Employment-based,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,57.8,1
KN.A1,All Age Group,1/1/2009,Not Expanded,Not Expanded,A,KN.VA28,Employment-based,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,55.4,1
KN.A1,All Age Group,1/1/2010,Not Expanded,Not Expanded,A,KN.VA28,Employment-based,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,53.4,1
KN.A1,All Age Group,1/1/2011,Not Expanded,Not Expanded,A,KN.VA28,Employment-based,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,53.1,1
KN.A1,All Age Group,1/1/2012,Not Expanded,Not Expanded,A,KN.VA28,Employment-based,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,53.7,1
KN.A1,All Age Group,1/1/2013,Not Expanded,Not Expanded,A,KN.VA28,Employment-based,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,52.3,1
KN.A1,All Age Group,1/1/2014,Not Expanded,Not Expanded,A,KN.VA28,Employment-based,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,53,1
KN.A1,All Age Group,1/1/2015,Not Expanded,Not Expanded,A,KN.VA28,Employment-based,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,53.2,1
KN.A1,All Age Group,1/1/2016,Not Expanded,Not Expanded,A,KN.VA28,Employment-based,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,53.5,1
KN.A1,All Age Group,1/1/2017,Not Expanded,Not Expanded,A,KN.VA28,Employment-based,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,53.2,1
KN.A1,All Age Group,1/1/2018,Not Expanded,Not Expanded,A,KN.VA28,Employment-based,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,53.6,1
KN.A1,All Age Group,1/1/2019,Not Expanded,Not Expanded,A,KN.VA28,Employment-based,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,54.1,1
KN.A1,All Age Group,1/1/2008,Not Expanded,Not Expanded,A,KN.VA33,Direct Purchase,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,14.6,1
KN.A1,All Age Group,1/1/2009,Not Expanded,Not Expanded,A,KN.VA33,Direct Purchase,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,13.8,1
KN.A1,All Age Group,1/1/2010,Not Expanded,Not Expanded,A,KN.VA33,Direct Purchase,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,13.1,1
KN.A1,All Age Group,1/1/2011,Not Expanded,Not Expanded,A,KN.VA33,Direct Purchase,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,12.6,1
KN.A1,All Age Group,1/1/2012,Not Expanded,Not Expanded,A,KN.VA33,Direct Purchase,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,13.6,1
KN.A1,All Age Group,1/1/2013,Not Expanded,Not Expanded,A,KN.VA33,Direct Purchase,US_AL,Alabama,Alabama,US_AL,M.13,Percent,%,%,13,1
